,Accuracy,Precision,Recall,F1-Score,Size (MB),Parameters,Inference (ms)
Custom CNN,0.9936240754909462,0.9936982850287572,0.9936240754909462,0.9936261422527067,4.3815202713012695,1147499.0,1.1735547412812968
MobileNetV2,0.9423616424381536,0.9441703437865637,0.9423616424381536,0.9424972617743047,8.92835521697998,2278955.0,1.0888110128965527
MobileNetV3-Small,0.9033409844427442,0.9074550582250515,0.9033409844427442,0.9032375728828426,6.0885210037231445,1561931.0,1.0873214592285467
EfficientNet-B0,0.9278245345575108,0.9311886657632749,0.9278245345575108,0.9281749679912372,15.785063743591309,4062631.0,1.3558579415455367
